title,lemmatized_text
8 Mile,setting detroit city divided mile road split town half along racial line young white rapper jimmy b rabbit smith jr summons strength within cross arbitrary boundary fulfill dream success hip hop pal future three one third place choke
Absolute Power,master thief coincidentally robbing house murder president united state involved occurs front eye forced run holding evidence could convict president
Paradise Now,two childhood friend recruited suicide bombing tel aviv
Brazil,low level bureaucrat sam lowry escape monotony day day life recurring daydream virtuous hero saving beautiful damsel investigating case led wrongful arrest eventual death innocent man instead wanted terrorist harry tuttle meet woman daydream trying help get caught web mistaken identity mindless bureaucracy lie
Walk the Line,chronicle country music legend johnny cash life early day arkansas cotton farm rise fame sun record memphis recorded alongside elvis presley jerry lee lewis carl perkins
Million Dollar Baby,despondent painful estrangement daughter trainer frankie dunn prepared boxer maggie fitzgerald enter life maggie determined go pro convince dunn cohort help
Billy Elliot,set background miner strike year old billy elliot stumble boxing ring onto ballet floor face many trial triumph strives conquer family set way inner conflict standing toe
American History X,derek vineyard paroled serving year prison killing two african american men brother danny vineyard narration learn going prison derek skinhead leader violent white supremacist gang committed act racial crime throughout l action greatly influenced danny reformed fresh prison derek severs contact gang becomes determined keep danny going violent path
War of the Worlds,ray ferrier divorced dockworker less perfect father soon ex wife new husband drop teenage son young daughter rare weekend visit strange powerful lightning storm touch
Mars Attacks!,come peace green men mar mean invade planet armed irresistible weapon cruel sense humor star studded cast must play victim alien fun game comedy homage science fiction film
Before Sunrise,way vienna american jesse meet c line student returning paris long conversation forge surprising connection jesse convinces celine get train vienna since flight u departs next morning money lodging wander city together taking experience vienna
Memento,leonard shelby tracking man raped murdered wife difficulty locating wife killer however compounded fact suffers rare untreatable form short term memory loss although recall detail life accident leonard cannot remember happened fifteen minute ago going
Blade Runner,smog choked dystopian los angeles blade runner rick deckard called retirement terminate quartet replicants escaped earth seeking creator way extend short life span
Before Sunset,nine year later jesse travel across europe giving reading book wrote night spent vienna celine reading paris celine find spend part day together jesse leave flight relationship jesse son strong feeling start return confess longing
Miami Vice,case involving drug lord murder south florida take personal turn undercover detective sonny crockett ricardo tubbs unorthodox crockett get involved romantically chinese cuban wife trafficker arm drug tubbs deal assault love
Open Water,two diver left sea without boat nothing water mile unless look underneath
Raiders of the Lost Ark,dr indiana jones tweed suited professor happens celebrated archaeologist hired government locate legendary ark covenant find entire nazi regime
Indiana Jones and the Temple of Doom,arriving india indiana jones asked desperate village find mystical stone agrees stumble upon secret cult plotting terrible plan catacomb ancient palace
Dirty Dancing,expecting usual tedium accompanies summer catskills family year old france baby houseman surprised find stepping shoe professional hoofer unexpectedly falling love
Indiana Jones and the Last Crusade,dr henry jones sr suddenly go missing pursuing holy grail eminent archaeologist indiana must team marcus brody sallah elsa schneider follow father footstep stop nazi recovering power eternal life
Beverly Hills Cop,heat fast paced action comedy starring eddie murphy axel foley street smart detroit cop tracking best friend killer beverly hill axel quickly learns wild style fit beverly hill police department assigns two officer judge reinhold john ashton make sure thing get hand dragging stuffy detective along ride axel smash huge culture clash hilarious high speed pursuit justice featuring cameo paul reiser bronson pinchot damon wayans beverly hill cop exhilarating sidesplitting adventure
Megacities,megacities documentary slum five different metropolitan city
Anatomy of a Murder,semi retired michigan lawyer paul biegler take case army lt manion murdered local innkeeper wife claimed raped course extensive trial biegler parry district attorney lodwick town prosecutor claude dancer set client free case rest victim mysterious business partner hiding dark secret
Kunstgriff,kunstgriff brilliantly filmed black white short film andre f nebe give proof storytelling ability minute film
Armageddon,asteroid threatens collide earth nasa honcho dan truman determines way stop drill surface detonate nuclear bomb lead renowned driller harry stamper agrees helm dangerous space mission provided bring along hotshot crew among cocksure j harry think good enough daughter mission prof otherwise
Beverly Hills Cop II,axel head land sunshine palm tree find shot police captain andrew bogomil thanks couple old friend axel investigation uncovers series robbery masterminded heartless weapon kingpin chase
Tron,kevin flynn search proof invented hit video game digitalized laser find inside grid program suffer tyrannical rule master control program mcp help security program called tron flynn seek free grid mcp
Gladiator,year death emperor marcus aurelius throw roman empire chaos maximus one roman army capable trusted general key advisor emperor marcus devious son commodus ascends throne maximus set executed escape captured slave trader renamed spaniard forced become gladiator maximus must battle death men amusement paying audience
"Lock, Stock and Two Smoking Barrels",card shark unwillingly enlisted friend need make lot cash quick losing sketchy poker match decide pull heist small time gang happen operating flat next door
Léon: The Professional,l top hit man new york earned rep effective cleaner next door neighbor wiped loose cannon dea agent becomes unwilling custodian year old mathilda long mathilda thought turn revenge considers following l footstep
Taxi Driver,mentally unstable vietnam war veteran work night time taxi driver new york city perceived decadence sleaze feed urge violent action attempting save preadolescent prostitute process
Back to the Future,eighty teenager marty mcfly accidentally sent back time inadvertently disrupting parent first meeting attracting mother romantic interest marty must repair damage history rekindling parent romance help eccentric inventor friend doc brown return
Predator,dutch group commando hired cia rescue downed airman guerilla central american jungle mission go well return find something hunting nearly invisible blend forest taking trophy body victim go along occasionally seeing eye audience see intelligent alien hunter hunting sport killing one time
Snatch,unscrupulous boxing promoter violent bookmaker russian gangster incompetent amateur robber supposedly jewish jeweler fight track priceless stolen diamond
Scarface,getting green card exchange assassinating cuban government official tony montana stake claim drug trade miami viciously murdering anyone stand way tony eventually becomes biggest drug lord state controlling nearly cocaine come miami increased pressure police war colombian drug cartel drug fueled paranoia serve fuel flame eventual downfall
Pretty Woman,millionaire wheeler dealer enters business contract hollywood hooker vivian ward loses heart bargain
The Big Lebowski,jeffrey dude lebowski los angeles slacker want bowl drink white russian mistaken another jeffrey lebowski wheelchair bound millionaire find dragged strange series event involving nihilist adult film producer ferret errant toe large sum money
Match Point,match point woody allen satire british high society ambition young tennis instructor enter yet must decide two woman one assuring place high society would take far palm start sweat dark psychological match head begin
The Untouchables,young treasury agent elliot ness arrives chicago determined take al capone going easy capone police pocket ness meet jimmy malone veteran patrolman probably honorable one force asks malone help get capone malone warns go capone going war
Charlie and the Chocolate Factory,young boy win tour magnificent chocolate factory world led world unusual candy maker
The Lord of the Rings: The Fellowship of the Ring,young hobbit frodo baggins inheriting mysterious ring uncle bilbo must leave home order keep falling hand evil creator along way fellowship formed protect ringbearer make sure ring arrives final destination mt doom place destroyed
The Lord of the Rings: The Two Towers,frodo sam trekking mordor destroy one ring power gimli legolas aragorn search orc captured merry pippin along nefarious wizard saruman awaits fellowship member orthanc tower isengard
The Lord of the Rings: The Return of the King,aragorn revealed heir ancient king gandalf member broken fellowship struggle save gondor sauron force meanwhile frodo sam take ring closer heart mordor dark lord realm
The Lord of the Rings,fellowship ring embark journey destroy one ring end sauron reign middle earth
Gimme Shelter,landmark documentary tragically ill fated rolling stone free concert altamont speedway december four month earlier woodstock defined love generation lay ruin desolate racetrack six mile outside san francisco
Primary,primary documentary film primary election john f kennedy hubert humphrey primary first documentary use light equipment order follow subject intimate filmmaking style unconventional way filming created new look documentary film camera lens right middle ever drama occuring
"O Brother, Where Art Thou?",deep south three escaped convict search hidden treasure relentless lawman pursues journey come across many comical character incredible situation based upon homer odyssey
Dont Look Back,wildly entertaining vision one twentieth century greatest artist bob dylan surrounded teen fan get heated philosophical joust journalist kick back fellow musician joan baez donovan alan price
Freaks,circus beautiful trapeze artist agrees marry leader side show performer deformed friend discover marrying inheritance
Groundhog Day,narcissistic tv weatherman along attractive distant producer mawkish cameraman sent report groundhog day small town punxsutawney find repeating day
Dracula,powerful ruthless vampire named count dracula arrives london prey young socialite woman standing vampire way group concerned men enigmatic dr abraham van helsing
Donnie Darko,narrowly escaping bizarre accident troubled teenager plagued vision large bunny rabbit manipulates commit series crime
Brokeback Mountain,two modern day cowboy meet shepherding job summer two share raw powerful summer together turn lifelong relationship conflict
All Quiet on the Western Front,young soldier face profound disillusionment soul destroying horror world war together several young german soldier experience horror war evil conceived signing fight eventually become sad tormented confused purpose
The Secret Life of Words,touching story deaf girl sent oil rig take care man blinded terrible accident girl special ability communicate men board especially patient share intimate moment together change life forever
48 Hrs.,hard nosed cop reluctantly team wise cracking criminal temporarily paroled order track killer
Star Trek: The Motion Picture,destructive space entity spotted approaching earth admiral kirk resume command starship enterprise order intercept examine hopefully stop
Lost in Translation,two lost soul visiting tokyo young neglected wife photographer washed movie star shooting tv commercial find odd solace pensive freedom real company away life america
Star Trek II: The Wrath of Khan,century federation starship u enterprise routine training maneuver admiral james kirk william shatner seems resigned fact inspection may well last space mission career khan back aided exiled band genetic superman khan ricardo montalban brilliant renegade century earth raided space station regula one stolen top secret device called project genesis wrested control another federation starship set pursuit enterprise determined let nothing stand way mission kill admiral kirk even mean universal armageddon
The Dark Knight,batman raise stake war crime help lt jim gordon district attorney harvey dent batman set dismantle remaining criminal organization plague street partnership prof effective soon find prey reign chaos unleashed rising criminal mastermind known terrified citizen gotham joker
Star Trek III: The Search for Spock,admiral kirk bridge crew risk career stealing decommissioned enterprise return restricted genesis planet recover spock body
Ocean's Eleven,less hour parole charismatic thief danny ocean already rolling next plan one night danny hand picked crew specialist attempt steal million three la vega casino score cash danny risk chance reconciling ex wife tess
Edward Scissorhands,small suburban town receives visit castaway unfinished science experiment named edward
Ocean's Twelve,danny ocean reunites old flame rest merry band thief carrying three huge heist rome paris amsterdam europol agent hot heel
Breakfast at Tiffany's,holly golightly eccentric new york city playgirl determined marry brazilian millionaire young writer paul varjak move apartment building past threatens get way
Back to the Future Part II,marty doc wacky sequel blockbuster time traveling duo head nip mcfly family woe bud thing go awry thanks bully biff tannen pesky sport almanac last ditch attempt set thing straight marty find bound face face teenage parent
K-PAX,prot patient mental hospital claim far away planet psychiatrist try help begin doubt explanation
Star Trek IV: The Voyage Home,century mysterious alien power threatening earth evaporating ocean destroying atmosphere frantic attempt save mankind kirk crew must time travel back san francisco find world punk pizza exact change bus alien anything ever encountered far reach galaxy thrilling action packed star trek adventure
Predator 2,ten year band mercenary first battled vicious alien invisible creature another world returned earth time drawn gang ruled ravaged city los angeles start murdering drug dealer detective lieutenant mike harrigan police force set capture creature ignoring warning mysterious government agent stay away
28 Days Later,twenty eight day killer virus accidentally unleashed british research facility small group london survivor caught desperate struggle protect infected carried animal human virus turn infects homicidal maniac absolutely impossible contain
Star Trek V: The Final Frontier,crew federation starship enterprise called nimbus iii planet intergalactic peace negotiate case kidnapping find kidnapper relative spock man possessed life long search planet shaka ri supposed source life together begin search mysterious planet
"20,000 Leagues Under the Sea",ship sent investigate wave mysterious sinking encounter advanced submarine nautilus commanded captain nemo
Star Trek VI: The Undiscovered Country,year war federation klingon empire find brink peace summit klingon ship nearly destroyed apparent attack enterprise world brace may dealiest encounter
Saw,obsessed teaching victim value life deranged sadistic serial killer abducts morally wayward captured must face impossible choice horrific game survival victim must fight win life back die trying
The Fisher King,two troubled men face terrible destiny event past join together mission find holy grail thus save
Blown Away,blown away tell story jimmy dove work boston bomb squad shortly dove leaf force partner killed bomb dove think might made someone know
The Interpreter,silvia broome interpreter united nation headquarters overhears plan assassination american secret service agent sent investigate
Minority Report,john anderton top precrime cop late century technology predict crime committed anderton becomes quarry another investigator target murder charge
The Good German,american journalist arrives berlin end world war two becomes involved murder mystery surrounding dead gi wash lakeside mansion potsdam negotiation allied power soon investigation connects search married pre war german lover
The Wizard,corey refuse let emotionally disturbed younger brother jimmy institutionalized two run away together soon join force resourceful girl notice jimmy special talent wizard video game achieve high score absolutely everything play evading parent sinister bounty hunter trio head climactic showdown national video game championship california
Jackie Brown,jackie brown flight attendant get caught middle smuggling cash country gunrunner bos cop try use jackie get bos hatch plan help bail bondsman keep money
A Clockwork Orange,near future britain young alexander delarge pal get kick beating raping anyone please destroying life others alex swoon music beethoven state eager crack juvenile crime give incarcerated alex option undergo invasive procedure rob personal agency time conscience commodity alex change tune
Lucky Number Slevin,slevin mistakenly put middle personal war city biggest criminal boss constant watch slevin must try get killed infamous assassin come idea get current dilemma film many twist turn
Sin City,welcome sin city town beckons tough corrupt brokenhearted call dark hard boiled call home crooked cop sexy dame desperate vigilante seeking revenge others lust redemption hoping little universe unlikely reluctant hero still trying right thing city refuse care
Sin City: A Dame to Kill For,sin city hard boiled citizen cross path reviled inhabitant
The Name of the Rose,century franciscan monk william baskerville young novice arrive conference find several monk murdered mysterious circumstance solve crime william must rise church authority fight shadowy conspiracy monastery monk using intelligence considerable
Star Trek: Generations,captain jean luc picard crew enterprise find odds renegade scientist soran destroying entire star system one man help picard stop soran scheme dead seventy eight year
Trouble in Paradise,thief gaston monescu pickpocket lily partner crime love working perfume company executive mariette colet two crook decide combine criminal talent rob employer alias monsieur laval gaston us position mariette personal secretary become closer however take thing far actually fall love mariette choose lily
Back to the Future Part III,final installment back future trilogy find marty digging trusty delorean mineshaft looking doc wild west time machine break traveler stranded land spur problem arise doc fall pretty schoolteacher clara clayton marty tangle buford tannen
Braveheart,enraged slaughter murron new bride childhood love scottish warrior william wallace slays platoon local english lord soldier lead village revolt eventually entire country rise english rule
To Be or Not to Be,nazi occupation poland acting troupe becomes embroiled polish soldier effort track german spy
Star Trek: First Contact,borg relentless race cyborg direct course earth violating order stay away battle captain picard crew newly commissioned us enterprise e pursue borg back time prevent invader changing federation history assimilating galaxy
Star Trek: Insurrection,alien race faction within starfleet attempt take planet regenerative property fall upon captain picard crew enterprise defend planet people well ideal upon federation founded
Star Trek: Nemesis,en route honeymoon william riker deanna troi home planet betazed captain jean luc picard crew u enterprise receives word starfleet coup resulted installation new romulan political leader shinzon claim seek peace human backed united federation planet enemy territory captain crew make startling discovery shinzon human slave romulan sister planet remus secret shocking relationship picard
Mean Streets,small time hood must choose among love friendship chance rise within mob
Hotel Rwanda,inspired true event film take place rwanda million tutsi killed genocide went mostly unnoticed rest world hotel owner paul rusesabagina house thousand refuge hotel attempt save life
Paradise Found,paradise found biography painter paul gauguin focusing personal conflict citizen life family life art scene frane incredible imagery montage gauguin manages make successful living south pacific opposition france
Dead Poets Society,elite old fashioned boarding school new england passionate english teacher inspires student rebel convention seize potential every day courting disdain stern headmaster
Arsenic and Old Lace,mortimer brewster newspaper drama critic playwright author known diatribe marriage suddenly fall love get married make quick trip home tell two maiden aunt find aunt hobby killing lonely old men burying cellar
North by Northwest,advertising man roger thornhill mistaken spy triggering deadly cross country chase
Saw III,jigsaw disappeared along new apprentice amanda puppet master behind cruel intricate game terrified community baffled police eluded capture vanished city detective scramble locate doctor lynn denlon jeff reinhart unaware become latest pawn vicious chessboard
Saw II,new murder victim discovered sign jigsaw hand detective eric matthew begin full investigation apprehends jigsaw little effort jigsaw getting caught another part plan eight victim already fighting life time matthew join game
Indiana Jones and the Kingdom of the Crystal Skull,set cold war soviet led sword wielding irina spalko search crystal skull supernatural power related mystical lost city gold indy coerced head peru behest young man whose friend indy colleague professor oxley captured knowledge skull whereabouts
The Terminator,post apocalyptic future reigning tyrannical supercomputer teleport cyborg assassin known terminator back kill sarah connor whose unborn son destined lead insurgent century mechanical hegemony meanwhile human resistance movement dispatch lone warrior safeguard sarah stop virtually indestructible killing machine
East of Eden,teenage cal trask longs affection father reserve brother aron effort meet rejection also attracted aron girlfriend cal becomes frustrated search love acceptance reveals long held secret mother aron knowledge tear family apart
Rebel Without a Cause,moving new town troublemaking teen jim stark supposed clean slate although new kid town brings problem searching stability stark form bond disturbed classmate plato fall local girl judy however judy girlfriend neighborhood tough buzz buzz violently confronts jim challenge drag race new kid real trouble begin
Rebecca,story young woman marries fascinating widower find must live shadow former wife rebecca died mysteriously several year earlier young wife must come grip terrible secret handsome cold husband max de winter must also deal jealous obsessed mr danvers housekeeper accept mistress house
Boys Don't Cry,young transgender man explores gender identity search love rural nebraska
The Outsiders,two poor greaser johnny ponyboy assaulted vicious gang socs johnny kill one attacker tension begin mount two rival gang setting turbulent chain event
The Bride of Frankenstein,bride frankenstein begin james whale frankenstein ended dr frankenstein killed previously portrayed want get away mad experiment yet wife kidnapped creation frankenstein agrees help create new monster time woman
Syriana,middle eastern oil industry backdrop tense drama weave together numerous story line bennett holiday american lawyer charge facilitating dubious merger oil company bryan woodman switzerland based energy analyst experience personal tragedy opportunity visit arabian royalty meanwhile veteran cia agent bob barnes uncovers assassination plot unsettling origin
Rumble Fish,rusty james absent minded street thug struggle live legendary older brother reputation longs day gang warfare going
The Wanderers,street bronx owned youth gang joy pain adolescence lived philip kaufman tell take novel richard price history italian american gang wanderer
Stand by Me,gordie chris teddy vern four friend decide hike find corpse ray brower local teenager hit train plucking blueberry wild
Muriel's Wedding,young social outcast australia steal money parent finance vacation hope find happiness perhaps love
Young Adam,young drifter working river barge disrupts employer life hiding fact know dead woman found river admits
The Godfather,spanning year chronicle fictional italian american corleone crime family organized crime family patriarch vito corleone barely survives attempt life youngest son michael step take care would killer launching campaign bloody revenge
Some Like It Hot,two musician witness mob hit struggle find way city found gangster opportunity join girl band leave tour make getaway must first disguise woman keep identity secret deal problem brings attractive bandmate determined suitor
The Godfather: Part II,continuing saga corleone crime family young vito corleone grows sicily new york michael corleone attempt expand family business la vega hollywood cuba
Natural Born Killers,two victim traumatized childhood become lover psychopathic serial murderer irresponsibly glorified mass medium
The Godfather: Part III,midst trying legitimize business dealing new york italy aging mafia michael corleone seek forgiveness sin taking young protege wing
High Fidelity,record store owner rob gordon get dumped girlfriend laura changed since met revisits top five breakup time attempt figure went wrong rob seek former lover find left keep effort win laura back
King Kong,adventurous filmmaker carl denham set produce motion picture unlike anything world seen alongside leading lady ann darrow first mate jack driscoll arrive island discover legendary creature said neither beast man denham capture monster displayed broadway kong eighth wonder world
About a Boy,freeman good looking smooth talking bachelor whose primary goal life avoiding kind responsibility invents imaginary son order meet attractive single mom get hilarious lesson life bright hopelessly geeky year old named marcus struggle teach marcus art cool marcus teach never old grow
The Killing,career criminal johnny clay recruit sharpshooter crooked police officer bartender betting teller named george among others one last job go straight get married george tell restless wife scheme steal million racetrack work hatch plot
Pocketful of Miracles,boozy brassy apple annie beggar basket apple much part downtown new york old broadway bootlegger dave dude sucker apple think bring luck dave girlfriend queenie martin need lot luck turn annie jam help annie daughter louise lived life spanish convent coming america count son count son want marry louise think mother part new york society dave queenie crony turn annie lady convince count son hobnobbing new york elite
The War of the Roses,rose barbara oliver live happily married couple start wonder life would like without oliver like see want stay house begin campaign force leave middle fighting amato divorce lawyer get see far go get rid boy go far
Ghost,sam wheat banker molly jensen artist two madly love however sam murdered friend corrupt business partner carl bruner shady business deal left roam earth powerless spirit learns carl betrayal sam must seek help psychic oda mae brown set thing right protect molly carl goon
Willy Wonka & the Chocolate Factory,eccentric candy man willy wonka prompt worldwide frenzy announces golden ticket hidden inside five delicious candy bar admit lucky holder top secret confectionary wonka agenda hidden amid world oompa loompas chocolate river
Live and Let Die,james bond must investigate mysterious murder case british agent new orleans soon find gangster bos named mr big
King Kong,new york overly ambitious movie producer coerces cast hired ship crew travel mysterious skull island encounter kong giant ape immediately smitten leading lady
Oliver Twist,oliver twist modern filmed version charles dickens bestseller roman polanski adaptation classic dickens tale orphan meet pickpocket street london join household boy trained steal master
The 39 Steps,richard hanney rude awakening glamorous female spy fall bed knife back bit trouble explaining scotland yard head hill scotland try clear name locating spy ring known step
Cat on a Hot Tin Roof,alcoholic ex football player drink day away failed come term sexuality real feeling football buddy died ambiguous accident wife crucified desperation make desire resists affection wife reunion father dying cancer jog host memory revelation father son
The King of Comedy,aspiring comic rupert pupkin attempt achieve success show business stalking idol late night talk show host craves privacy
Batman,batman must face ruthless nemesis deformed madman calling joker seizes control gotham criminal underworld
Batman Begins,driven tragedy billionaire bruce wayne dedicates life uncovering defeating corruption plague home gotham city unable work within system instead creates new identity symbol fear criminal underworld batman
The Silence of the Lambs,clarice starling top student fbi training academy jack crawford want clarice interview dr hannibal lecter brilliant psychiatrist also violent psychopath serving life behind bar various act murder cannibalism crawford belief lecter may insight case starling attractive young woman may bait draw
Fargo,jerry small town minnesota car salesman bursting seam debt got plan going hire two thug kidnap wife scheme collect hefty ransom wealthy father law going snap nobody going get hurt people start dying enter police chief marge coffee drinking parka wearing extremely pregnant investigator stop nothing get man think small time investigative skill give crook run ransom betcha
Underworld,vampire werewolf waged nocturnal war century bet female vampire warrior named selene famous strength werewolf hunting prowess becomes smitten peace loving male werewolf michael want end war
The Shawshank Redemption,framed double murder wife lover upstanding banker andy dufresne begin new life shawshank prison put accounting skill work amoral warden long stretch prison dufresne come admired inmate including older prisoner named red integrity unquenchable sense hope
Amadeus,wolfgang amadeus mozart remarkably talented young viennese composer unwittingly find fierce rival disciplined determined antonio salieri resenting mozart hedonistic lifestyle undeniable talent highly religious salieri gradually consumed jealousy becomes obsessed mozart downfall leading devious scheme dire consequence men
Terminator 2: Judgment Day,nearly year passed since sarah connor targeted termination cyborg future son john future leader resistance target newer deadly terminator resistance managed send protector back attempt save john mother sarah
Strange Days,set year last day old millennium movie tell story lenny nero ex cop deal data disc containing recorded memory emotion one day receives disc contains memory murderer killing prostitute lenny investigates pulled deeper deeper whirl blackmail murder rape survive solve case
The Apartment,bud baxter minor clerk huge new york insurance company discovers quick way climb corporate ladder lends apartment executive place take mistress although often deal aftermath visit one night left major problem solve
Pirates of the Caribbean: At World's End,captain barbossa long believed dead come back life headed edge earth turner elizabeth swann nothing quite seems
Bull Durham,veteran catcher crash davis brought minor league durham bull help coming pitching prospect nuke laloosh relationship get rocky start complicated baseball groupie annie savoy set sight two men
High Noon,kane sheriff small town new mexico learns notorious outlaw put jail freed arriving noon train knowing outlaw gang coming kill kane determined stand ground attempt gather posse among local townspeople
Casablanca,casablanca morocco december cynical american expatriate meet former lover unforeseen complication
Barton Fink,renowned new york playwright enticed california write movie discovers hellish truth hollywood
Riding Giants,riding giant story big wave surfer become hero legend sport directed skateboard guru stacy peralta
Dave Chappelle's Block Party,american comedian actor delivers story alternative hip hop scene small town ohio man move brooklyn new york throw unprecedented block party
A River Runs Through It,river run cinematographically stunning true story norman maclean story follows norman brother paul experience life growing love fly fishing keep together despite varying life circumstance untamed west montana
Desert Hearts,story straight edge literature professor vivian travel reno get away relationship breakup fall love attractive unconventional girl named cay
Terminator 3: Rise of the Machines,year since john connor saved earth judgment day living radar steering clear using anything skynet trace encounter x robotic assassin ordered finish started good thing connor former nemesis terminator back aid adult connor like promised
Meet Joe Black,grim reaper come collect soul megamogul bill parrish arrives proposition host vacation among living trade day existence parrish agrees using pseudonym joe black death begin taking part parrish daily agenda fall love man daughter yet black holiday parrish life
Ocean's Thirteen,danny ocean team criminal back composing plan personal ever ruthless casino owner willy bank doublecrosses reuben tishkoff causing heart attack danny ocean vow team anything bring willy bank along everything got even mean asking help enemy
Ocean's Eleven,danny ocean gang attempt rob five biggest casino la vega one night
Rio Bravo,sheriff small town southwest texas must keep custody murderer whose brother powerful rancher trying help escape friend killed trying muster support deputy disgraced drunk cantankerous old cripple must find way hold rancher hired gun marshal arrives meantime matter complicated presence young gunslinger mysterious beauty came last stagecoach
Swimming Pool,middle amusing thriller relationship two different type female one well know british author sex crazed french teen two get relationship trouble living together film psychological imagery erotic exploration female body
Notorious,order help bring nazi justice u government agent r devlin recruit alicia huberman american daughter convicted german war criminal spy begin fall one another alicia instructed win affection alexander sebastian nazi hiding brazil sebastian becomes serious relationship alicia stake get higher devlin must watch slip undercover
Beverly Hills Cop III,back sunny southern california trail two murderer axel foley team la cop billy rosewood soon discover amusement park used front massive counterfeiting ring run gang shot billy bos
Broken Flowers,devoutly single johnston dumped latest girlfriend receives anonymous pink letter informing son may looking
Bruce Almighty,bruce nolan toil human interest television reporter buffalo n despite high rating love beautiful girlfriend bruce remains unfulfilled end worst day life angrily ridicule god almighty responds endowing bruce divine power
Once Upon a Time in America,former prohibition era jewish gangster return lower east side manhattan thirty year later must confront ghost regret old life
Snow Cake,drama focused friendship high functioning autistic woman man traumatized fatal car accident
Catwoman,liquidated discovering corporate conspiracy mild mannered graphic artist patience phillips wash island resurrected endowed prowess cat eager use new skill vigilante say cat mouse handsome gumshoe tom lone tail
"Faster, Pussycat! Kill! Kill!",three stripper seeking thrill encounter young couple desert dispatching boyfriend take girl hostage begin scheming crippled old man living two son desert reputedly hiding tidy sum cash become house guest old man try seduce son attempt locate money realizing old man sinister intention
